,Date,Open,High,Low,Close,Adj Close,Volume,positive,neutral,negative
0,2020-12-17,21308.351563,23642.660156,21234.675781,22805.162109,22805.162109,71378606374,2,3,0
1,2020-12-18,22806.796875,23238.601563,22399.8125,23137.960938,23137.960938,40387896275,3,2,0
2,2020-12-19,23132.865234,24085.855469,22826.472656,23869.832031,23869.832031,38487546580,0,1,0
3,2020-12-20,23861.765625,24209.660156,23147.710938,23477.294922,23477.294922,37844228422,1,2,0
4,2020-12-21,23474.455078,24059.982422,22159.367188,22803.082031,22803.082031,45852713981,3,3,0
5,2020-12-22,22794.039063,23789.902344,22430.605469,23783.029297,23783.029297,44171632681,0,0,1
6,2020-12-23,23781.974609,24024.490234,22802.646484,23241.345703,23241.345703,51146161904,1,1,0
7,2020-12-24,23240.203125,23768.337891,22777.597656,23735.949219,23735.949219,41080759713,1,1,0
8,2020-12-25,23733.570313,24710.101563,23463.673828,24664.791016,24664.791016,42068395846,1,0,0
9,2020-12-26,24677.015625,26718.070313,24522.689453,26437.037109,26437.037109,48332647295,3,0,0
10,2020-12-27,26439.373047,28288.839844,25922.769531,26272.294922,26272.294922,66479895605,1,1,0
11,2020-12-28,26280.822266,27389.111328,26207.640625,27084.808594,27084.808594,49056742893,0,2,1
12,2020-12-29,27081.810547,27370.720703,25987.298828,27362.4375,27362.4375,45265946774,1,1,1
13,2020-12-30,27360.089844,28937.740234,27360.089844,28840.953125,28840.953125,51287442704,2,0,0
14,2020-12-31,28841.574219,29244.876953,28201.992188,29001.720703,29001.720703,46754964848,1,0,0
15,2021-01-02,29376.455078,33155.117188,29091.181641,32127.267578,32127.267578,67865420765,2,1,1
16,2021-01-03,32129.408203,34608.558594,32052.316406,32782.023438,32782.023438,78665235202,1,0,1
17,2021-01-04,32810.949219,33440.21875,28722.755859,31971.914063,31971.914063,81163475344,0,1,1
18,2021-01-05,31977.041016,34437.589844,30221.1875,33992.429688,33992.429688,67547324782,1,0,0
19,2021-01-06,34013.613281,36879.699219,33514.035156,36824.363281,36824.363281,75289433811,2,0,0
20,2021-01-07,36833.875,40180.367188,36491.191406,39371.042969,39371.042969,84762141031,3,3,0
21,2021-01-08,39381.765625,41946.738281,36838.636719,40797.609375,40797.609375,88107519480,2,1,1
22,2021-01-09,40788.640625,41436.351563,38980.875,40254.546875,40254.546875,61984162837,3,0,0
23,2021-01-10,40254.21875,41420.191406,35984.628906,38356.441406,38356.441406,79980747690,2,1,1
24,2021-01-11,38346.53125,38346.53125,30549.599609,35566.65625,35566.65625,123320567399,1,1,4
25,2021-01-12,35516.359375,36568.527344,32697.976563,33922.960938,33922.960938,74773277909,2,0,1
26,2021-01-13,33915.121094,37599.960938,32584.667969,37316.359375,37316.359375,69364315979,2,0,1
27,2021-01-14,37325.109375,39966.40625,36868.5625,39187.328125,39187.328125,63615990033,4,1,0
28,2021-01-15,39156.707031,39577.710938,34659.589844,36825.367188,36825.367188,67760757881,1,1,0
29,2021-01-16,36821.648438,37864.367188,35633.554688,36178.140625,36178.140625,57706187875,0,2,0
30,2021-01-17,36163.648438,36722.351563,34069.320313,35791.277344,35791.277344,52359854336,3,1,1
31,2021-01-18,35792.238281,37299.285156,34883.84375,36630.074219,36630.074219,49511702429,2,1,0
32,2021-01-19,36642.234375,37755.890625,36069.804688,36069.804688,36069.804688,57244195486,2,0,1
33,2021-01-20,36050.113281,36378.328125,33570.476563,35547.75,35547.75,66834573161,2,2,0
34,2021-01-21,35549.398438,35552.679688,30250.75,30825.699219,30825.699219,75643067688,1,2,0
35,2021-01-22,30817.625,33811.851563,28953.373047,33005.761719,33005.761719,77207272511,1,1,0
36,2021-01-23,32985.757813,33360.976563,31493.160156,32067.642578,32067.642578,48354737975,2,1,0
37,2021-01-24,32064.376953,32944.007813,31106.685547,32289.378906,32289.378906,48643830599,1,2,1
38,2021-01-25,32285.798828,34802.742188,32087.787109,32366.392578,32366.392578,59897054838,1,1,0
39,2021-01-26,32358.613281,32794.550781,31030.265625,32569.849609,32569.849609,60255421470,2,2,0
40,2021-01-27,32564.029297,32564.029297,29367.138672,30432.546875,30432.546875,62576762015,1,0,3
41,2021-01-28,30441.041016,33858.3125,30023.207031,33466.097656,33466.097656,76517157706,2,0,0
42,2021-01-29,34318.671875,38406.261719,32064.814453,34316.386719,34316.386719,117894572511,1,1,3
