,Date,Low,High,Close,Open
999,2022-03-29,47050.0,47509.07,47372.61,47122.21
998,2022-03-28,46663.56,48189.84,47122.21,46827.76
997,2022-03-27,44421.46,46999.0,46827.76,44511.27
996,2022-03-26,44071.97,44792.99,44511.27,44313.16
995,2022-03-25,43579.0,45094.14,44313.16,43991.46
994,2022-03-24,42560.46,44220.89,43991.46,42882.76
993,2022-03-23,41751.47,43025.96,42882.76,42364.13
992,2022-03-22,40875.51,43361.0,42364.13,41002.26
991,2022-03-21,40467.94,41544.22,41002.25,41262.11
990,2022-03-20,40911.0,42296.26,41262.11,42201.13
989,2022-03-19,41499.29,42400.0,42201.13,41757.51
988,2022-03-18,40135.04,42325.02,41757.51,40917.89
987,2022-03-17,40500.0,41478.82,40917.9,41114.01
986,2022-03-16,38828.48,41718.0,41114.0,39280.33
985,2022-03-15,38098.33,39887.61,39280.33,39671.37
984,2022-03-14,37555.0,39947.12,39671.37,37777.35
983,2022-03-13,37578.51,39310.0,37777.34,38807.35
982,2022-03-12,38660.52,39486.71,38807.36,38729.57
981,2022-03-11,38223.6,40236.26,38729.57,39422.01
980,2022-03-10,38539.73,42039.63,39422.0,41941.7
979,2022-03-09,38656.45,42594.06,41941.71,38730.63
978,2022-03-08,37867.65,39362.08,38730.63,37988.01
977,2022-03-07,37155.0,39547.57,37988.0,38420.8
976,2022-03-06,38088.57,39693.87,38420.81,39397.97
975,2022-03-05,38407.59,39613.24,39397.96,39148.65
974,2022-03-04,38550.0,42527.3,39148.66,42454.0
973,2022-03-03,41832.28,44101.12,42454.0,43892.99
972,2022-03-02,43334.09,45400.0,43892.98,44421.2
971,2022-03-01,42809.98,44949.0,44421.2,43160.0
970,2022-02-28,37450.17,44225.84,43160.0,37699.08
969,2022-02-27,37000.0,39855.7,37699.07,39116.73
968,2022-02-26,38573.18,40348.45,39116.72,39219.16
967,2022-02-25,38014.37,39683.53,39219.17,38328.68
966,2022-02-24,34322.28,39843.0,38327.21,37250.02
965,2022-02-23,37036.79,39249.93,37250.01,38230.33
964,2022-02-22,36350.0,38429.0,38230.33,37008.16
963,2022-02-21,36800.0,39494.35,37008.16,38386.89
962,2022-02-20,38000.0,40125.44,38386.89,40079.17
961,2022-02-19,39639.03,40444.32,40079.17,39974.45
960,2022-02-18,39450.0,40959.88,39974.44,40515.71
959,2022-02-17,40073.21,44164.71,40515.7,43873.56
958,2022-02-16,43307.0,44549.97,43873.56,44544.85
957,2022-02-15,42427.03,44751.4,44544.86,42535.94
956,2022-02-14,41550.56,42842.4,42535.94,42053.65
955,2022-02-13,41870.0,42760.0,42053.66,42217.87
954,2022-02-12,41688.88,43079.49,42217.87,42373.73
953,2022-02-11,41938.51,43920.0,42373.73,43495.44
952,2022-02-10,43174.01,45821.0,43495.44,44372.71
951,2022-02-09,43117.92,44799.0,44372.72,44043.0
950,2022-02-08,42666.0,45492.0,44042.99,43839.99
949,2022-02-07,41645.85,44500.5,43839.99,42380.87
948,2022-02-06,41116.56,42656.0,42380.87,41382.6
947,2022-02-05,40843.01,41913.69,41382.59,41571.7
946,2022-02-04,37026.73,41772.33,41574.25,37311.98
945,2022-02-03,36250.0,37387.0,37311.61,36896.37
944,2022-02-02,36586.95,38855.92,36896.36,38694.59
943,2022-02-01,38000.0,39265.2,38694.59,38466.9
942,2022-01-31,36632.61,38744.0,38466.9,37881.75
941,2022-01-30,37351.63,38359.26,37881.76,38166.83
940,2022-01-29,37268.44,38720.74,38166.84,37716.57
939,2022-01-28,36155.01,38000.0,37716.56,37160.11
938,2022-01-27,35507.01,37234.47,37160.1,36807.24
937,2022-01-26,36234.63,38919.98,36809.34,36958.32
936,2022-01-25,35701.0,37545.14,36958.32,36660.35
935,2022-01-24,32917.17,37550.0,36660.35,36244.55
934,2022-01-23,34601.01,36499.0,36244.55,35071.42
933,2022-01-22,34008.0,36835.22,35071.42,36445.31
932,2022-01-21,35440.45,41100.0,36445.31,40680.92
931,2022-01-20,40553.31,43505.0,40680.91,41660.0
930,2022-01-19,41138.56,42559.13,41660.01,42352.12
929,2022-01-18,41250.0,42691.0,42352.12,42201.63
928,2022-01-17,41540.42,43176.18,42201.62,43071.66
927,2022-01-16,42581.79,43475.0,43071.66,43084.29
926,2022-01-15,42555.0,43800.0,43084.29,43059.96
925,2022-01-14,41725.95,43448.78,43059.96,42558.35
924,2022-01-13,42311.22,44500.0,42560.11,43902.65
923,2022-01-12,42450.0,44322.0,43902.66,42729.29
922,2022-01-11,41268.93,43100.0,42729.29,41822.49
921,2022-01-10,39650.0,42248.5,41822.49,41864.62
920,2022-01-09,41200.02,42786.7,41864.62,41679.74
919,2022-01-08,40501.0,42300.0,41679.74,41566.48
918,2022-01-07,40610.0,43145.83,41566.48,43082.3
917,2022-01-06,42430.58,43816.0,43082.31,43451.14
916,2022-01-05,42500.0,47070.0,43451.13,45832.01
