,Date,Low,High,Close,Open
1825,2017-04-07,1173.18,1201.23,1190.49,1188.7
1824,2017-04-08,1166.65,1198.22,1180.78,1190.49
1823,2017-04-09,1173.99,1215.1,1204.34,1180.78
1822,2017-04-10,1194.81,1214.87,1206.71,1204.34
1821,2017-04-11,1195.76,1229.57,1220.74,1206.71
1820,2017-04-12,1207.36,1225.46,1212.53,1220.74
1819,2017-04-13,1150.29,1218.66,1176.2,1212.53
1818,2017-04-14,1162.16,1195.4,1177.33,1176.2
1817,2017-04-15,841.53,1194.85,1176.99,1177.33
1816,2017-04-16,1166.74,1187.97,1176.8,1176.99
1815,2017-04-17,1172.81,1202.97,1194.01,1176.8
1814,2017-04-18,1191.14,1213.88,1206.09,1194.01
1813,2017-04-19,1194.08,1218.21,1215.2,1206.09
1812,2017-04-20,1210.67,1246.64,1238.09,1215.2
1811,2017-04-21,1235.56,1256.97,1249.64,1238.09
1810,2017-04-22,1215.78,1256.97,1240.89,1249.64
1809,2017-04-23,1223.06,1256.23,1249.14,1240.89
1808,2017-04-24,1234.86,1256.36,1248.18,1249.14
1807,2017-04-25,1244.21,1272.62,1264.31,1248.18
1806,2017-04-26,1263.0,1309.2,1286.63,1264.31
1805,2017-04-27,1285.3,1346.79,1332.91,1286.63
1804,2017-04-28,1287.62,1356.15,1329.62,1332.91
1803,2017-04-29,1314.15,1343.69,1336.28,1329.62
1802,2017-04-30,1309.66,1358.94,1351.91,1336.28
1801,2017-05-01,1342.78,1448.68,1415.81,1351.91
1800,2017-05-02,1394.83,1471.14,1445.93,1415.81
1799,2017-05-03,1424.05,1496.39,1485.55,1445.93
1798,2017-05-04,1437.11,1609.84,1516.76,1485.55
1797,2017-05-05,1485.01,1588.11,1507.77,1516.76
1796,2017-05-06,1503.93,1560.42,1545.29,1507.77
1795,2017-05-07,1495.18,1572.89,1554.45,1545.29
1794,2017-05-08,1552.86,1667.67,1664.47,1554.45
1793,2017-05-09,1619.97,1757.39,1697.5,1664.47
